cluster_id,top_keywords,cluster_size
17,"propositional domain theory, logical domain, deficient domain, theory revision problem, revise deficient, deficient domain theory, domain theory, theory, expose inaccuracie, revision problem",305
18,"algorithm, article describe, plan adaptation, domain - independent, domain - independent algorithm, debugging involve, modify repairing, plan debugging, involve process, paradigm transformational",318
19,"paper, artificial intelligence, intelligence, method induce solution, prediction describe, functional prediction, multiple input variable, rule - base machine learning, disjunctive normal form, multiple input",380
20,"belief, class, rule, special case, belief revision, year two special, update, belief update, model belief change, change",331
21,"automatically pick, discourse processing, discourse, piece, piece information, extraction, information extraction, unconstrained text, text information extraction, task automatically",135
22,"processing, intuition underlying, rigorous comparative analysis, fundamental principle underlying, comparative analysis, partial - order plan, underlying partial - order, intuition underlying partial - order, underlying, year",226
23,"paper introduce, base argumentation frameworks, standard argumentation frameworks, argumentation frameworks, toshow rational, derive force, case argument, notion value - base, value - base argumentation frameworks, argument derive",171
24,"plan, construct contingency plan, fundamental assumption make, contingency planner, cassandra, fully predictable, make classical, contingency plan, partial - order contingency planner, action fully",224
25,"graph, representation language, network base, attribute, report, modify formation, address modify, attribute address, evaluation test, test continuous",268
38,"adaptation, prover often diverge, proof, divergence, proof inductive theorem, critic, identify diverging proof, inductive, inductive theorem prover, inductive proof attempt",157
27,"temporal difference, partially observable markov, observable markov decision, domain partially, partially observable stochastic, markov decision process, partially observable, observable stochastic domain, stochastic domain, problem effect",137
28,"search efficiency, semantic property, decompose solve, constraint possess, increase search, constraint satisfaction problem, structural property, satisfaction problem, account semantic property, order increase",582
29,"intelligence rely, optimality, intelligent system, theoretical foundation center, foundation center, provably bound - optimal agent, desire property, bound optimality, foundation, abo",252
30,"recursive, pac - learning recursive, algorithm present, algorithm learn, polynomial time, recursive logic program, pac - learning recursive logic, recursive logic, time equivalence, equivalence query",166
31,"building refine, problem solver, plan case, performance problem, promise approach, approach improve, drop sentence, representation language ion, improve performance, change representation",58
32,"framework, pattern, show, define directly, collective argumentation, call collective argumentation, call collective, abstract argumentation framework, attack relation, argumentation framework",233
33,"level reasoning, function - base object recognition, membership, recognition system recognize, object support, recognize object, object, support expect, functionality - base recognition system, membership function",204
34,"horn, iterative optimization, approximate reasoning, selman kautz, rapid approximate, knowledge approximating, support rapid approximate, support rapid, knowledge compilation, approximating general",105
35,"base, quality, evolutionary algorithm base, generalize evolutionary, outperform algorithm base, statistic generalize evolutionary, tsallis canonical distribution, tsallis statistic generalize, evolutionary algorithm, tsallis generalize canonical",160
36,"classify othello position, fisher linear, meaning estimate, statistical feature, evaluation function, game - tree search, quadratic discriminant function, well - know statistical, discriminant function, statistical feature combination",15
37,"support efficient query, update procedure, procedure operate, traditional database commonly, time, network traditional database, commonly support efficient, traditional database, logarithmic - time update, commonly support",102
39,"specific technique perform, domain specific technique, domain specific, adaptive problem - solving solving, expensive construct, specific technique, case study, technique perform, schedule problem, large - scale schedule problem",139
40,"geometric body, plan fragment, satisfy set, call plan fragment, important problem, find configuration, symbolic geometric, principled approach, satisfaction important, symbolic geometric constraint",110
41,"theoretic distinction, partially control multi-agent, control multi-agent system, control multi-agent, control theoretic, designer direct, uncontrollable agent, control theoretic distinction, system designer, multi - agent system",214
42,"visual think, application visual, imagistic, imagistic reasoning organize, play important, imagistic reasoning, scientific reasoning, important role, spatial aggregation, application visual think",108
43,"propose exploiting, bayesian network, exploiting causal, exploiting, exact bayesian network, conditional probability, exact bayesian, network inference, bayesian network inference, exploiting causal independencie",138
44,"instance - base learning technique, difference metric, distance function instance - base, technique typically handle, linear input, instance - base learning, learning technique, nominal input attribute, distance function, input attribute appropriately",178
45,"search space, genetic programming, defeasible, argumentation, propositional argumentation, default theory, propositional default theory, argumentation system, embed default, embed default logic",117
46,"maximal tractable, direction research, tractable subclasses, find maximal tractable, paper combine, report tractable algebras, maximal tractable subclasses, metric temporal information, important direction, allen interval",97
47,"non-bayesian decision, dynamic non-bayesian, general agent - environment interaction, decision make, game incomplete, face repeat, non-bayesian agent, agent - environment interaction, modeling general agent - environment, dynamic non-bayesian decision",66
48,"operate concurrently, charge battery, logic - base robot controller, controller high - level robot, high - level robot controller, robot control language, robot controller high - level, robot controller, realistic domain, realistic domain typically",15
49,"real - world problem, belief function, dempster - shafer theory, simple proportional conflict, call proportional conflict, recently josang, weighted average operator, conflict mass, conflict redistribution rule, proportional conflict redistribution",211
50,"view provide, content legal, contract draft, assembly present, constraint - drive system, legal document, contract database retrieval, modelling structure, coarse content, provide automated support",15
51,"situation, find abstraction, multiagent system, software engineering, methodology toolkit, aim find, field agent - orient, complex application conceptualized, agent - orient software engineering, prototyping complex application",137
52,"promise subproblems, generate promise subproblems, procedure interleave, effective search procedure, reduce cost - base, reduce cost - base rank, reduce cost, effective search, subproblem generation, propose effective",15
53,"interpret signal come, come electroencephalogram, neuronal spectral analysis, interpret signal, analyze interpret, brain - computer interface, knowledge integration, automatic system exist, signal come, high interest",15
54,"term formal, model formulated, ensemble term, associative pattern ensemble, associative pattern possess, associative pattern, ensemble creation, ensemble creation procedure, pattern ensemble, neural net - work",15
55,"internal source fourier, mass spectrometry, source fourier transform, imaging laser desorption, transform mass, laser desorption fourier, desorption fourier transform, transform mass spectrometer, mass spectrometer, desorption fourier",15
56,"bluff, learn bluff, opponent reaction base, create intelligent virtual, confound game designer, design agent outlook, confound game, bluffing confound, network agent intelligence, carefully design agent",15
57,"robotics community, symbolic controller, bridge gap, top - manual, manual design, top - manual design, brook ' subsumption architecture, bottom - designer - free approach, advocate brook ', evolve symbolic controller",15
58,"large effort, probabilistic approach, determine, determination termhood, related unithood, approach research, conduct part, determine unithood, influence termhood, unithood word",22
59,"dynamique d'un flux, d'un flux documentaire, knowledge extraction, d'un flux, classification dynamique d'un, statique préalable, flux documentaire, l'algorithme germen datum - stream, germen datum - stream clustering, évaluation statique",15
60,"territoire agricole, procédure de modélisation, modélisation de connaissance, longitudinale d'une procédure, étude longitudinale d'une, étude longitudinale, main step, d'une procédure, connaissance en matière, present framework",15
61,"structuration automatique des, essai d'évaluation health, health practice guidelien, bonn pratiques, des guide, bonn pratiques clinique, essai d'évaluation, pratiques clinique, d'évaluation health practice, guide de bonn",15
62,"formal concept analysis, case report, database consist, syndromes interaction, pharmacovigilance database, formal concept, case report involve, adverse drug event, concept analysis, mining adverse",15
63,"successful management, ontology successful management, pivotal issue, trigger human emotional, issue concern affective, tagging multimedia, human emotional response, tagging multimedia stimulus, ontology successful, emotional stimulus",15
64,"reduce dimensionality mapping, planar reduce, kohonen self - organize, reduce dimensionality, include planar, self - organize map, kohonen self - organize map, tag cloud, relate tag, modify tag cloud",14
65,"ftmarket system recommendation, module diverse recommendation, intermodal transportation -, transportation - ftmarket, diverse recommendation technique, augment assistance, transportation - ftmarket system, recommendation module diverse, user involve, exist information",15
66,"social science, science comprise, inter - act entity, natural social, intensity interaction, fast multipole, model organization, fast multipole method, interaction decreases, set inter-acting",15
67,"network ring assignment, intra-ring synchronous optical, optical telecommunication network, optical network ring, optical telecommunication, synchronous optical, network design problem, network design, constraint - base objective function, sonet network design",15
68,"edge weight clique, maximum weight, graph match, practical graph match, graph match problem, generic graph match, match, derive association graph, maximum vertex, match problem",43
69,"similarity lean, traditional staging, staging base, ontology instanciation, similarité, similarité en intension, lean dramaturgical, théâtre traditional staging, dramaturgical ontology, théâtre traditional",15
70,"quantization vector quantization, inapplicable combinatorial, quantization vector, lossy datum, graph quantization vector, lossy datum compression, restrict feature, compression technique, datum compression, signal processing",15
71,"decisional process, mental scheme, boolean neural network, environmental incoming, human decisional process, select quantity, store memory, employment select, human decisional, synthesized environmental",15
72,"release, fusing evidence, operator fusing, combination operator, refereetoolbox refereetoolbox, refereetoolbox, package implement combination, package implement, java package, implement combination",15
73,"smolensky tensor, smolensky tensor product, holographic reduce representation, geometric algebra, distribute representation formalism, distribute representation, geometric algebra model, binary spatter, representation formalism base, spatter code",15
74,"mountain river torrent, river torrent, snow avalanches generate, avalanches generate human, two - step fusion process, torrent snow, dramatic consequence, human material, avalanches generate, multi - criterion decision apply",15
75,"recognition accuracy, popular security, iris recognition technology, recognition technology, high - security area, security application, identify individual, iris recognition, individual photograph, method iris recognition",15
76,"binary database, subjective interestingness measure, database recent research, geng hamilton, application tile, quantify novelty, database recent, research highlight, silberschatz tuzhilin, recent research",15
77,"study improve, biometric, multimodal biometric system, template set, biological datum, extracting feature, analyze biological datum, feature set, science technology, acquire datum",15
78,"workflow virtual e-science, central role, collaborative weakly - structure, weakly - structure process, scientific workflow virtual, virtual e-science, e - science infrastructure support, virtual e-science infrastructure, infrastructure support web - base, web - base scientific workflow",15
79,"human agent, support structure - large, semantic wiki, domain research, argument medical, argumentation theory, research apply, aim provide, structure - large scale, apply idea",15
80,"role factor, effective preference - base datum, perform effective preference - base, factor model, model perform effective, model perform, preferentially meaningful structurized, datum retrieval require, factor model perform, require detailed",15
81,"large variety, cell formation, machine - part cell formation, machine cell, process level, map machine - part cell, organize map machine - part, lead - time customer, obtain machine cell, reduce manufacturing lead - time",15
82,"revise previous observation, pruning technique, improve backtrack, hamiltonian cycle instance, hamiltonian cycle problem, hamiltonian cycle, gn , million phase transition, sophisticated pruning, improve backtrack algorithm, hamiltonicity non-hamiltonicity",15
83,"criterion conditional, acyclic causal network, independence acyclic, discrete variable, causal network, would - separation criterion, conditional independence, system uniquely, pearl dechter, random disturbance",15
0,"network stochastic sampling, bayesian network model, sampling algorithm consistently, stochastic sampling algorithm, sampling algorithm, adaptive importance, exist sampling algorithm, sampling, large bayesian network, importance sampling",15
26,"natural evolution strategy, rank - one nes, high - dimensional non-separable problem, distribution covariance matrix, time natural evolution, linear time natural, low rank, covariance matrix, evolution strategy, distribution covariance",15
