source_idx,source_title,similar_title,weight
25,Using Pivot Consistency to Decompose and Solve Functional CSPs,The Exact Closest String Problem as a Constraint Satisfaction Problem,4
25,Using Pivot Consistency to Decompose and Solve Functional CSPs,"Logic Programming Approaches for Representing and Solving Constraint
  Satisfaction Problems: A Comparison",3
25,Using Pivot Consistency to Decompose and Solve Functional CSPs,Relation Variables in Qualitative Spatial Reasoning,3
28,Pac-Learning Recursive Logic Programs: Efficient Algorithms,Pac-learning Recursive Logic Programs: Negative Results,5
28,Pac-Learning Recursive Logic Programs: Efficient Algorithms,The Difficulties of Learning Logic Programs with Cut,2
28,Pac-Learning Recursive Logic Programs: Efficient Algorithms,"Well-Founded Semantics for Extended Logic Programs with Dynamic
  Preferences",2
28,Pac-Learning Recursive Logic Programs: Efficient Algorithms,Practical Methods for Proving Termination of General Logic Programs,2
28,Pac-Learning Recursive Logic Programs: Efficient Algorithms,"Consistency Management of Normal Logic Program by Top-down Abductive
  Proof Procedure",2
29,Pac-learning Recursive Logic Programs: Negative Results,Pac-Learning Recursive Logic Programs: Efficient Algorithms,5
30,FLECS: Planning with a Flexible Commitment Strategy,"Storing and Indexing Plan Derivations through Explanation-based Analysis
  of Retrieval Failures",2
30,FLECS: Planning with a Flexible Commitment Strategy,Semi-Myopic Sensing Plans for Value Optimization,2
31,"Induction of First-Order Decision Lists: Results on Learning the Past
  Tense of English Verbs","Learning the Past Tense of English Verbs: The Symbolic Pattern
  Associator vs. Connectionist Models",2
34,An Integrated Framework for Learning and Reasoning,Rule-based Machine Learning Methods for Functional Prediction,2
34,An Integrated Framework for Learning and Reasoning,Active Learning with Statistical Models,2
34,An Integrated Framework for Learning and Reasoning,Reinforcement Learning: A Survey,2
34,An Integrated Framework for Learning and Reasoning,A Formal Framework for Speedup Learning from Problems and Solutions,2
34,An Integrated Framework for Learning and Reasoning,Integrating Defeasible Argumentation and Machine Learning Techniques,2
38,Flexibly Instructable Agents,On Planning while Learning,2
38,Flexibly Instructable Agents,A Consistency-Based Model for Belief Change: Preliminary Report,2
38,Flexibly Instructable Agents,New Generalization Bounds for Learning Kernels,2
41,Generalization of Clauses under Implication,Least Generalizations and Greatest Specializations of Sets of Clauses,4
41,Generalization of Clauses under Implication,Representing Knowledge about Norms,3
41,Generalization of Clauses under Implication,New Generalization Bounds for Learning Kernels,2
42,Decision-Theoretic Foundations for Causal Reasoning,"Causes and Explanations: A Structural-Model Approach. Part II:
  Explanations",2
43,Translating between Horn Representations and their Characteristic Models,Knowledge Representation,2
43,Translating between Horn Representations and their Characteristic Models,Bayesian Approach to Neuro-Rough Models,2
43,Translating between Horn Representations and their Characteristic Models,"Emotion: Appraisal-coping model for the ""Cascades"" problem",2
43,Translating between Horn Representations and their Characteristic Models,Model-Driven Constraint Programming,2
45,Rule-based Machine Learning Methods for Functional Prediction,Integrating Defeasible Argumentation and Machine Learning Techniques,3
45,Rule-based Machine Learning Methods for Functional Prediction,An Integrated Framework for Learning and Reasoning,2
45,Rule-based Machine Learning Methods for Functional Prediction,Reinforcement Learning: A Survey,2
45,Rule-based Machine Learning Methods for Functional Prediction,Restart Strategy Selection using Machine Learning Techniques,2
46,"The Design and Experimental Analysis of Algorithms for Temporal
  Reasoning",Temporal Reasoning without Transitive Tables,3
47,"Well-Founded Semantics for Extended Logic Programs with Dynamic
  Preferences","Comparisons and Computation of Well-founded Semantics for Disjunctive
  Logic Programs",6
47,"Well-Founded Semantics for Extended Logic Programs with Dynamic
  Preferences",Logic Programs with Compiled Preferences,5
47,"Well-Founded Semantics for Extended Logic Programs with Dynamic
  Preferences",A Framework for Compiling Preferences in Logic Programs,5
47,"Well-Founded Semantics for Extended Logic Programs with Dynamic
  Preferences",A Compiler for Ordered Logic Programs,4
47,"Well-Founded Semantics for Extended Logic Programs with Dynamic
  Preferences",Practical Methods for Proving Termination of General Logic Programs,3
49,Quantum Computing and Phase Transitions in Combinatorial Search,"A New Look at the Easy-Hard-Easy Pattern of Combinatorial Search
  Difficulty",3
49,Quantum Computing and Phase Transitions in Combinatorial Search,A Framework for Searching AND/OR Graphs with Cycles,2
49,Quantum Computing and Phase Transitions in Combinatorial Search,Online Search Cost Estimation for SAT Solvers,2
50,Mean Field Theory for Sigmoid Belief Networks,Inferring knowledge from a large semantic network,2
52,Active Learning with Statistical Models,An Integrated Framework for Learning and Reasoning,2
52,Active Learning with Statistical Models,"Optimization of Evolutionary Neural Networks Using Hybrid Learning
  Algorithms",2
54,Practical Methods for Proving Termination of General Logic Programs,"Well-Founded Semantics for Extended Logic Programs with Dynamic
  Preferences",3
54,Practical Methods for Proving Termination of General Logic Programs,"Consistency Management of Normal Logic Program by Top-down Abductive
  Proof Procedure",3
54,Practical Methods for Proving Termination of General Logic Programs,Logic Programs with Compiled Preferences,3
54,Practical Methods for Proving Termination of General Logic Programs,A Framework for Compiling Preferences in Logic Programs,3
54,Practical Methods for Proving Termination of General Logic Programs,"Comparisons and Computation of Well-founded Semantics for Disjunctive
  Logic Programs",3
55,Iterative Optimization and Simplification of Hierarchical Clusterings,"Clustering Mixed Numeric and Categorical Data: A Cluster Ensemble
  Approach",2
55,Iterative Optimization and Simplification of Hierarchical Clusterings,K-Histograms: An Efficient Clustering Algorithm for Categorical Dataset,2
55,Iterative Optimization and Simplification of Hierarchical Clusterings,Approximation Algorithms for K-Modes Clustering,2
55,Iterative Optimization and Simplification of Hierarchical Clusterings,"Geometric Data Analysis, From Correspondence Analysis to Structured Data
  Analysis (book review)",2
55,Iterative Optimization and Simplification of Hierarchical Clusterings,Probabilistic Semantic Web Mining Using Artificial Neural Analysis,2
56,Further Experimental Evidence against the Utility of Occam's Razor,"Exploring the Decision Forest: An Empirical Investigation of Occam's
  Razor in Decision Tree Induction",3
56,Further Experimental Evidence against the Utility of Occam's Razor,A System for Induction of Oblique Decision Trees,2
56,Further Experimental Evidence against the Utility of Occam's Razor,"Great Expectations. Part II: Generalized Expected Utility as a Universal
  Decision Rule",2
56,Further Experimental Evidence against the Utility of Occam's Razor,Traffic Accident Analysis Using Decision Trees and Neural Networks,2
57,Least Generalizations and Greatest Specializations of Sets of Clauses,Generalization of Clauses under Implication,4
57,Least Generalizations and Greatest Specializations of Sets of Clauses,Planning with Preferences using Logic Programming,2
58,Reinforcement Learning: A Survey,Searching for Plannable Domains can Speed up Reinforcement Learning,3
58,Reinforcement Learning: A Survey,On Planning while Learning,2
58,Reinforcement Learning: A Survey,"Truncating Temporal Differences: On the Efficient Implementation of
  TD(lambda) for Reinforcement Learning",2
58,Reinforcement Learning: A Survey,An Integrated Framework for Learning and Reasoning,2
58,Reinforcement Learning: A Survey,Rule-based Machine Learning Methods for Functional Prediction,2
60,A Formal Framework for Speedup Learning from Problems and Solutions,An Integrated Framework for Learning and Reasoning,2
64,Spatial Aggregation: Theory and Applications,A Complete Classification of Tractability in RCC-5,2
64,Spatial Aggregation: Theory and Applications,Relation Variables in Qualitative Spatial Reasoning,2
64,Spatial Aggregation: Theory and Applications,"A Novel Two-Staged Decision Support based Threat Evaluation and Weapon
  Assignment Algorithm, Asset-based Dynamic Weapon Scheduling using Artificial
  Intelligence Techinques",2
64,Spatial Aggregation: Theory and Applications,Indexer Based Dynamic Web Services Discovery,2
65,A Hierarchy of Tractable Subsets for Computing Stable Models,A Consistency-Based Model for Belief Change: Preliminary Report,3
65,A Hierarchy of Tractable Subsets for Computing Stable Models,What does a conditional knowledge base entail?,3
65,A Hierarchy of Tractable Subsets for Computing Stable Models,Unfolding Partiality and Disjunctions in Stable Model Semantics,2
65,A Hierarchy of Tractable Subsets for Computing Stable Models,Proceedings of the Pacific Knowledge Acquisition Workshop 2004,2
65,A Hierarchy of Tractable Subsets for Computing Stable Models,Representing Knowledge about Norms,2
68,Mechanisms for Automated Negotiation in State Oriented Domains,Bias-Driven Revision of Logical Domain Theories,2
69,Learning First-Order Definitions of Functions,Solving Multiclass Learning Problems via Error-Correcting Output Codes,2
70,MUSE CSP: An Extension to the Constraint Satisfaction Problem,Breaking Value Symmetry,6
70,MUSE CSP: An Extension to the Constraint Satisfaction Problem,The Exact Closest String Problem as a Constraint Satisfaction Problem,5
70,MUSE CSP: An Extension to the Constraint Satisfaction Problem,Using Pivot Consistency to Decompose and Solve Functional CSPs,4
70,MUSE CSP: An Extension to the Constraint Satisfaction Problem,Relation Variables in Qualitative Spatial Reasoning,4
70,MUSE CSP: An Extension to the Constraint Satisfaction Problem,Symmetry within Solutions,4
71,Exploiting Causal Independence in Bayesian Network Inference,"Generating Conditional Probabilities for Bayesian Networks: Easing the
  Knowledge Acquisition Problem",2
75,"SCREEN: Learning a Flat Syntactic and Semantic Spoken Language Analysis
  Using Artificial Neural Networks",Neuro Fuzzy Systems: Sate-of-the-Art Modeling Techniques,2
75,"SCREEN: Learning a Flat Syntactic and Semantic Spoken Language Analysis
  Using Artificial Neural Networks",Is Neural Network a Reliable Forecaster on Earth? A MARS Query!,2
75,"SCREEN: Learning a Flat Syntactic and Semantic Spoken Language Analysis
  Using Artificial Neural Networks",Meta-Learning Evolutionary Artificial Neural Networks,2
75,"SCREEN: Learning a Flat Syntactic and Semantic Spoken Language Analysis
  Using Artificial Neural Networks","Optimization of Evolutionary Neural Networks Using Hybrid Learning
  Algorithms",2
75,"SCREEN: Learning a Flat Syntactic and Semantic Spoken Language Analysis
  Using Artificial Neural Networks","Response Prediction of Structural System Subject to Earthquake Motions
  using Artificial Neural Network",2
81,A Complete Classification of Tractability in RCC-5,Relation Variables in Qualitative Spatial Reasoning,3
81,A Complete Classification of Tractability in RCC-5,Spatial Aggregation: Theory and Applications,2
82,"A New Look at the Easy-Hard-Easy Pattern of Combinatorial Search
  Difficulty",Quantum Computing and Phase Transitions in Combinatorial Search,3
82,"A New Look at the Easy-Hard-Easy Pattern of Combinatorial Search
  Difficulty","Logic Programming Approaches for Representing and Solving Constraint
  Satisfaction Problems: A Comparison",3
82,"A New Look at the Easy-Hard-Easy Pattern of Combinatorial Search
  Difficulty",Logic programs with propositional connectives and aggregates,3
82,"A New Look at the Easy-Hard-Easy Pattern of Combinatorial Search
  Difficulty",Dynamic Backtracking,2
82,"A New Look at the Easy-Hard-Easy Pattern of Combinatorial Search
  Difficulty",When Gravity Fails: Local Search Topology,2
87,"Storing and Indexing Plan Derivations through Explanation-based Analysis
  of Retrieval Failures",FLECS: Planning with a Flexible Commitment Strategy,2
87,"Storing and Indexing Plan Derivations through Explanation-based Analysis
  of Retrieval Failures",Semi-Myopic Sensing Plans for Value Optimization,2
88,"A Model Approximation Scheme for Planning in Partially Observable
  Stochastic Domains","Feature Selection Using Regularization in Approximate Linear Programs
  for Markov Decision Processes",3
88,"A Model Approximation Scheme for Planning in Partially Observable
  Stochastic Domains",MDPs with Unawareness,3
90,When Gravity Fails: Local Search Topology,"A Local Search Modeling for Constrained Optimum Paths Problems (Extended
  Abstract)",3
90,When Gravity Fails: Local Search Topology,On Improving Local Search for Unsatisfiability,3
90,When Gravity Fails: Local Search Topology,Toward an automaton Constraint for Local Search,3
90,When Gravity Fails: Local Search Topology,"A New Look at the Easy-Hard-Easy Pattern of Combinatorial Search
  Difficulty",2
90,When Gravity Fails: Local Search Topology,Islands for SAT,2
91,Bidirectional Heuristic Search Reconsidered,On Backtracking in Real-time Heuristic Search,2
93,Monotonicity and Persistence in Preferential Logics,Artificial Intelligence for Conflict Management,2
93,Monotonicity and Persistence in Preferential Logics,The Road to Quantum Artificial Intelligence,2
93,Monotonicity and Persistence in Preferential Logics,Universal Intelligence: A Definition of Machine Intelligence,2
93,Monotonicity and Persistence in Preferential Logics,Artificial Intelligence Techniques for Steam Generator Modelling,2
96,Tractability of Theory Patching,Bias-Driven Revision of Logical Domain Theories,2
96,Tractability of Theory Patching,Unification of Fusion Theories,2
97,Integrative Windowing,"Optimization of Evolutionary Neural Networks Using Hybrid Learning
  Algorithms",2
97,Integrative Windowing,Learning DTW Global Constraint for Time Series Classification,2
98,Model-Based Diagnosis using Structured System Descriptions,Defeasible Reasoning in OSCAR,2
98,Model-Based Diagnosis using Structured System Descriptions,"E-RES: A System for Reasoning about Actions, Events and Observations",2
101,SYNERGY: A Linear Planner Based on Genetic Programming,dcs: An Implementation of DATALOG with Constraints,2
101,SYNERGY: A Linear Planner Based on Genetic Programming,Avoiding the Bloat with Stochastic Grammar-based Genetic Programming,2
102,The Essence of Constraint Propagation,Some Remarks on Boolean Constraint Propagation,3
102,The Essence of Constraint Propagation,Enhancing Constraint Propagation with Composition Operators,3
102,The Essence of Constraint Propagation,The Weighted CFG Constraint,2
102,The Essence of Constraint Propagation,Toward an automaton Constraint for Local Search,2
102,The Essence of Constraint Propagation,Propagating Conjunctions of AllDifferent Constraints,2
105,"Modeling Belief in Dynamic Systems, Part II: Revision and Update",A general approach to belief change in answer set programming,4
105,"Modeling Belief in Dynamic Systems, Part II: Revision and Update",A Consistency-Based Model for Belief Change: Preliminary Report,3
105,"Modeling Belief in Dynamic Systems, Part II: Revision and Update",Optimal Belief Revision,2
105,"Modeling Belief in Dynamic Systems, Part II: Revision and Update",Local Diagnosis,2
105,"Modeling Belief in Dynamic Systems, Part II: Revision and Update",SATEN: An Object-Oriented Web-Based Revision and Extraction Engine,2
108,Probabilistic Agent Programs,Teleo-Reactive Programs for Agent Control,2
110,Uniform semantic treatment of default and autoepistemic logics,"Well-Founded Semantics for Extended Logic Programs with Dynamic
  Preferences",2
110,Uniform semantic treatment of default and autoepistemic logics,Distance Semantics for Belief Revision,2
110,Uniform semantic treatment of default and autoepistemic logics,Embedding Default Logic in Propositional Argumentation Systems,2
110,Uniform semantic treatment of default and autoepistemic logics,"Comparisons and Computation of Well-founded Semantics for Disjunctive
  Logic Programs",2
110,Uniform semantic treatment of default and autoepistemic logics,From Statistical Knowledge Bases to Degrees of Belief,2
113,"Consistency Management of Normal Logic Program by Top-down Abductive
  Proof Procedure",Smodels: A System for Answer Set Programming,4
113,"Consistency Management of Normal Logic Program by Top-down Abductive
  Proof Procedure","Abduction, ASP and Open Logic Programs",4
113,"Consistency Management of Normal Logic Program by Top-down Abductive
  Proof Procedure","Well-Founded Semantics for Extended Logic Programs with Dynamic
  Preferences",3
113,"Consistency Management of Normal Logic Program by Top-down Abductive
  Proof Procedure",Practical Methods for Proving Termination of General Logic Programs,3
113,"Consistency Management of Normal Logic Program by Top-down Abductive
  Proof Procedure",Logic Programs with Compiled Preferences,3
114,Defeasible Reasoning in OSCAR,Model-Based Diagnosis using Structured System Descriptions,2
114,Defeasible Reasoning in OSCAR,"E-RES: A System for Reasoning about Actions, Events and Observations",2
114,Defeasible Reasoning in OSCAR,Handling Defeasibilities in Action Domains,2
114,Defeasible Reasoning in OSCAR,Why did the accident happen? A norm-based reasoning approach,2
116,ACLP: Integrating Abduction and Constraint Solving,dcs: An Implementation of DATALOG with Constraints,2
116,ACLP: Integrating Abduction and Constraint Solving,"Logic Programming Approaches for Representing and Solving Constraint
  Satisfaction Problems: A Comparison",2
116,ACLP: Integrating Abduction and Constraint Solving,Defeasible Logic Programming: An Argumentative Approach,2
116,ACLP: Integrating Abduction and Constraint Solving,Parametric Connectives in Disjunctive Logic Programming,2
116,ACLP: Integrating Abduction and Constraint Solving,On the Expressibility of Stable Logic Programming,2
118,Probabilistic Default Reasoning with Conditional Constraints,From Statistical Knowledge Bases to Degrees of Belief,4
118,Probabilistic Default Reasoning with Conditional Constraints,Another perspective on Default Reasoning,3
118,Probabilistic Default Reasoning with Conditional Constraints,What does a conditional knowledge base entail?,2
118,Probabilistic Default Reasoning with Conditional Constraints,Symmetry within and between solutions,2
119,A Compiler for Ordered Logic Programs,Logic Programs with Compiled Preferences,8
119,A Compiler for Ordered Logic Programs,A Framework for Compiling Preferences in Logic Programs,8
119,A Compiler for Ordered Logic Programs,"Well-Founded Semantics for Extended Logic Programs with Dynamic
  Preferences",4
119,A Compiler for Ordered Logic Programs,On Properties of Update Sequences Based on Causal Rejection,4
119,A Compiler for Ordered Logic Programs,A general approach to belief change in answer set programming,4
120,SLDNFA-system,Problem solving in ID-logic with aggregates: some experiments,3
120,SLDNFA-system,Decidable Reasoning in Terminological Knowledge Representation Systems,2
120,SLDNFA-system,"Consistency Management of Normal Logic Program by Top-down Abductive
  Proof Procedure",2
120,SLDNFA-system,Two results for proiritized logic programming,2
120,SLDNFA-system,Knowledge Representation,2
121,Logic Programs with Compiled Preferences,A Framework for Compiling Preferences in Logic Programs,12
121,Logic Programs with Compiled Preferences,A Compiler for Ordered Logic Programs,8
121,Logic Programs with Compiled Preferences,"Well-Founded Semantics for Extended Logic Programs with Dynamic
  Preferences",5
121,Logic Programs with Compiled Preferences,Domain-Dependent Knowledge in Answer Set Planning,5
121,Logic Programs with Compiled Preferences,A semantic framework for preference handling in answer set programming,5
122,Fuzzy Approaches to Abductive Inference,"A Comparative Study of Fuzzy Classification Methods on Breast Cancer
  Data",2
122,Fuzzy Approaches to Abductive Inference,"EvoNF: A Framework for Optimization of Fuzzy Inference Systems Using
  Neural Network Learning and Evolutionary Computation",2
122,Fuzzy Approaches to Abductive Inference,Belief Conditioning Rules (BCRs),2
123,Problem solving in ID-logic with aggregates: some experiments,SLDNFA-system,3
124,Optimal Belief Revision,SATEN: An Object-Oriented Web-Based Revision and Extraction Engine,3
124,Optimal Belief Revision,Distance Semantics for Belief Revision,3
124,Optimal Belief Revision,Belief Revision and Rational Inference,3
124,Optimal Belief Revision,Belief Conditioning Rules (BCRs),3
124,Optimal Belief Revision,A general approach to belief change in answer set programming,3
126,Smodels: A System for Answer Set Programming,Normal forms for Answer Sets Programming,5
126,Smodels: A System for Answer Set Programming,"Towards Automated Integration of Guess and Check Programs in Answer Set
  Programming: A Meta-Interpreter and Applications",5
126,Smodels: A System for Answer Set Programming,"Achieving compositionality of the stable model semantics for Smodels
  programs",5
126,Smodels: A System for Answer Set Programming,An Application of Proof-Theory in Answer Set Programming,5
126,Smodels: A System for Answer Set Programming,"Consistency Management of Normal Logic Program by Top-down Abductive
  Proof Procedure",4
127,"E-RES: A System for Reasoning about Actions, Events and Observations",Metatheory of actions: beyond consistency,3
127,"E-RES: A System for Reasoning about Actions, Events and Observations",Model-Based Diagnosis using Structured System Descriptions,2
127,"E-RES: A System for Reasoning about Actions, Events and Observations",Defeasible Reasoning in OSCAR,2
127,"E-RES: A System for Reasoning about Actions, Events and Observations",Handling Defeasibilities in Action Domains,2
127,"E-RES: A System for Reasoning about Actions, Events and Observations",Why did the accident happen? A norm-based reasoning approach,2
130,DES: a Challenge Problem for Nonmonotonic Reasoning Systems,Smodels: A System for Answer Set Programming,3
130,DES: a Challenge Problem for Nonmonotonic Reasoning Systems,"Consistency Management of Normal Logic Program by Top-down Abductive
  Proof Procedure",2
130,DES: a Challenge Problem for Nonmonotonic Reasoning Systems,"Abduction, ASP and Open Logic Programs",2
131,Fages' Theorem and Answer Set Programming,A semantic framework for preference handling in answer set programming,6
131,Fages' Theorem and Answer Set Programming,Normal forms for Answer Sets Programming,6
131,Fages' Theorem and Answer Set Programming,Open Answer Set Programming with Guarded Programs,6
131,Fages' Theorem and Answer Set Programming,"Towards Automated Integration of Guess and Check Programs in Answer Set
  Programming: A Meta-Interpreter and Applications",5
131,Fages' Theorem and Answer Set Programming,An Application of Proof-Theory in Answer Set Programming,5
133,BDD-based reasoning in the fluent calculus - first results,Interactive Configuration by Regular String Constraints,3
134,Planning with Incomplete Information,"A State-Based Regression Formulation for Domains with Sensing
  Actions<br> and Incomplete Information",2
135,Local Diagnosis,A Consistency-Based Model for Belief Change: Preliminary Report,3
135,Local Diagnosis,"Modeling Belief in Dynamic Systems, Part II: Revision and Update",2
135,Local Diagnosis,A general approach to belief change in answer set programming,2
136,A Consistency-Based Model for Belief Change: Preliminary Report,A general approach to belief change in answer set programming,4
136,A Consistency-Based Model for Belief Change: Preliminary Report,A Hierarchy of Tractable Subsets for Computing Stable Models,3
136,A Consistency-Based Model for Belief Change: Preliminary Report,"Modeling Belief in Dynamic Systems, Part II: Revision and Update",3
136,A Consistency-Based Model for Belief Change: Preliminary Report,Local Diagnosis,3
136,A Consistency-Based Model for Belief Change: Preliminary Report,What does a conditional knowledge base entail?,3
137,SATEN: An Object-Oriented Web-Based Revision and Extraction Engine,Optimal Belief Revision,3
137,SATEN: An Object-Oriented Web-Based Revision and Extraction Engine,Distance Semantics for Belief Revision,3
137,SATEN: An Object-Oriented Web-Based Revision and Extraction Engine,Belief Revision and Rational Inference,3
137,SATEN: An Object-Oriented Web-Based Revision and Extraction Engine,Belief Conditioning Rules (BCRs),3
137,SATEN: An Object-Oriented Web-Based Revision and Extraction Engine,A general approach to belief change in answer set programming,3
138,dcs: An Implementation of DATALOG with Constraints,DATALOG with constraints - an answer-set programming system,4
138,dcs: An Implementation of DATALOG with Constraints,SYNERGY: A Linear Planner Based on Genetic Programming,2
138,dcs: An Implementation of DATALOG with Constraints,ACLP: Integrating Abduction and Constraint Solving,2
138,dcs: An Implementation of DATALOG with Constraints,Stochastic Constraint Programming: A Scenario-Based Approach,2
138,dcs: An Implementation of DATALOG with Constraints,Scenario-based Stochastic Constraint Programming,2
139,DATALOG with constraints - an answer-set programming system,dcs: An Implementation of DATALOG with Constraints,4
139,DATALOG with constraints - an answer-set programming system,Using Pivot Consistency to Decompose and Solve Functional CSPs,2
139,DATALOG with constraints - an answer-set programming system,MUSE CSP: An Extension to the Constraint Satisfaction Problem,2
139,DATALOG with constraints - an answer-set programming system,Breaking Value Symmetry,2
139,DATALOG with constraints - an answer-set programming system,Multiset Ordering Constraints,2
140,Some Remarks on Boolean Constraint Propagation,The Essence of Constraint Propagation,3
140,Some Remarks on Boolean Constraint Propagation,Enhancing Constraint Propagation with Composition Operators,3
140,Some Remarks on Boolean Constraint Propagation,Decomposition of the NVALUE constraint,2
141,Conditional Plausibility Measures and Bayesian Networks,Using Sets of Probability Measures to Represent Uncertainty,2
141,Conditional Plausibility Measures and Bayesian Networks,Updating Sets of Probabilities,2
